,power,Wind,GridAvailability,SolarGen
0,75.0,0.847,1,0.0
1,80.5,0.794,0,0.0
2,91.5,0.752,1,0.0
3,81.0,0.718,1,0.0
4,81.0,0.6890000000000001,0,0.0
5,78.0,0.664,1,0.0
6,84.0,0.649,1,0.0
7,105.0,0.627,1,0.11199999999999999
8,123.0,0.628,0,0.32
9,114.0,0.6509999999999999,1,0.48
10,125.0,0.71,1,0.619
11,120.5,0.805,1,0.6609999999999999
12,129.0,0.8909999999999999,0,0.63
13,160.0,0.941,1,0.5920000000000001
14,135.0,0.966,1,0.539
15,437.0,0.972,0,0.368
16,395.0,0.972,1,0.149
17,125.0,0.97,1,0.003
18,99.0,0.971,1,0.0
19,607.5,0.971,1,0.0
20,430.0,0.977,1,0.0
21,84.5,0.982,0,0.0
22,111.0,0.983,1,0.0
23,105.0,0.9840000000000001,1,0.0
24,75.0,0.983,0,0.0
25,81.0,0.98,1,0.0
26,81.0,0.975,1,0.0
27,84.0,0.968,1,0.0
28,87.0,0.961,0,0.0
29,81.0,0.948,1,0.0
30,355.0,0.934,1,0.0
31,358.0,0.9329999999999999,1,0.077
32,104.0,0.948,1,0.28
33,103.0,0.9620000000000001,0,0.5
34,98.0,0.968,1,0.654
35,104.5,0.973,0,0.725
36,127.0,0.972,0,0.726
37,128.5,0.965,1,0.674
38,162.5,0.9540000000000001,0,0.563
39,196.0,0.943,0,0.38799999999999996
40,173.0,0.924,1,0.16399999999999998
41,184.5,0.889,1,0.004
42,185.0,0.847,1,0.0
43,347.0,0.82,0,0.0
44,198.5,0.807,1,0.0
45,342.5,0.8029999999999999,1,0.0
46,126.0,0.797,1,0.0
47,117.0,0.8,1,0.0
48,100.5,0.82,0,0.0
49,86.0,0.8270000000000001,1,0.0
50,80.0,0.8320000000000001,0,0.0
51,75.0,0.835,1,0.0
52,75.0,0.836,1,0.0
53,84.0,0.8220000000000001,0,0.0
54,84.0,0.797,0,0.0
55,98.0,0.7829999999999999,1,0.054000000000000006
56,112.0,0.83,1,0.172
57,121.5,0.856,1,0.317
58,131.5,0.8490000000000001,1,0.47700000000000004
59,114.0,0.84,1,0.57
60,93.0,0.8290000000000001,0,0.5770000000000001
61,92.0,0.8170000000000001,1,0.5329999999999999
62,152.0,0.8079999999999999,1,0.494
63,408.0,0.8009999999999999,1,0.373
64,428.0,0.7829999999999999,1,0.16899999999999998
65,182.0,0.75,1,0.005
66,168.0,0.7240000000000001,1,0.0
67,559.0,0.713,1,0.0
68,194.0,0.705,1,0.0
69,134.0,0.6970000000000001,1,0.0
70,114.0,0.674,1,0.0
71,99.0,0.64,1,0.0
72,87.0,0.605,0,0.0
73,103.0,0.575,1,0.0
74,88.5,0.5539999999999999,1,0.0
75,75.0,0.5329999999999999,1,0.0
76,75.0,0.515,1,0.0
77,78.0,0.45899999999999996,0,0.0
78,81.0,0.413,1,0.0
79,98.0,0.391,1,0.095
80,504.5,0.49,1,0.355
81,93.0,0.541,1,0.593
82,105.0,0.521,0,0.716
83,142.0,0.49200000000000005,1,0.767
84,161.0,0.465,0,0.75
85,126.0,0.44299999999999995,1,0.711
86,660.0,0.428,1,0.612
87,411.0,0.41,0,0.442
88,136.0,0.38,1,0.20600000000000002
89,139.0,0.35,1,0.008
90,182.0,0.341,1,0.0
91,443.0,0.315,1,0.0
92,240.5,0.294,1,0.0
93,139.5,0.271,0,0.0
94,93.0,0.264,0,0.0
95,96.0,0.26,1,0.0
96,75.0,0.26,1,0.0
97,83.0,0.263,0,0.0
98,81.0,0.265,1,0.0
99,78.0,0.271,1,0.0
100,81.0,0.275,1,0.0
101,81.0,0.268,0,0.0
102,96.0,0.262,1,0.0
103,100.5,0.256,1,0.182
104,127.0,0.335,1,0.434
105,137.0,0.395,1,0.622
106,140.0,0.409,1,0.738
107,108.0,0.425,1,0.792
108,139.0,0.451,1,0.777
109,172.0,0.48200000000000004,1,0.726
