,power,Wind,GridAvailability,SolarGen
86,19.5,0.428,1,0.612
87,15.0,0.41,0,0.442
88,11.0,0.38,1,0.20600000000000002
89,10.0,0.35,1,0.008
90,11.0,0.341,1,0.0
91,11.5,0.315,1,0.0
92,10.0,0.294,1,0.0
93,9.5,0.271,0,0.0
94,6.0,0.264,0,0.0
95,0.0,0.26,1,0.0
96,0.0,0.26,1,0.0
97,0.0,0.263,0,0.0
98,0.0,0.265,1,0.0
99,0.0,0.271,1,0.0
100,0.0,0.275,1,0.0
101,0.0,0.268,0,0.0
102,4.0,0.262,1,0.0
103,4.0,0.256,1,0.182
104,8.0,0.335,1,0.434
105,4.0,0.395,1,0.622
106,1.5,0.409,1,0.738
107,1.5,0.425,1,0.792
108,1.5,0.451,1,0.777
109,6.0,0.48200000000000004,1,0.726
110,7.5,0.513,0,0.616
111,7.5,0.52,1,0.426
112,7.5,0.475,1,0.191
113,15.0,0.389,1,0.006999999999999999
114,26.5,0.342,1,0.0
115,11.5,0.318,0,0.0
116,11.0,0.284,1,0.0
117,9.5,0.257,1,0.0
118,6.0,0.243,1,0.0
119,0.0,0.28800000000000003,1,0.0
120,3.0,0.307,1,0.0
121,1.5,0.307,0,0.0
122,0.0,0.298,0,0.0
123,2.0,0.315,0,0.0
124,0.0,0.302,1,0.0
125,0.0,0.29100000000000004,1,0.0
126,7.0,0.27399999999999997,1,0.0
127,8.0,0.235,0,0.192
128,4.5,0.249,1,0.44799999999999995
129,3.0,0.267,0,0.636
130,3.0,0.256,1,0.752
131,5.5,0.253,1,0.807
132,4.0,0.262,0,0.787
133,7.5,0.285,1,0.736
134,16.5,0.326,1,0.627
135,7.5,0.36700000000000005,1,0.447
136,0.0,0.386,1,0.205
137,9.0,0.40299999999999997,1,0.008
138,22.0,0.408,1,0.0
139,8.0,0.40399999999999997,1,0.0
140,9.5,0.391,1,0.0
141,8.5,0.382,0,0.0
142,8.0,0.374,1,0.0
143,0.0,0.377,1,0.0
144,0.0,0.397,1,0.0
145,0.0,0.39899999999999997,1,0.0
146,0.0,0.40399999999999997,1,0.0
147,0.0,0.40399999999999997,0,0.0
148,0.0,0.395,1,0.0
149,0.0,0.39299999999999996,0,0.0
150,4.0,0.391,0,0.0
151,4.5,0.379,1,0.141
152,6.0,0.419,0,0.41700000000000004
153,4.0,0.461,1,0.594
154,2.0,0.511,1,0.698
155,8.5,0.57,0,0.7559999999999999
156,1.5,0.616,1,0.779
157,7.5,0.638,0,0.731
158,18.0,0.652,1,0.616
159,15.0,0.654,1,0.41600000000000004
160,13.5,0.639,1,0.174
161,6.0,0.584,0,0.006
162,7.0,0.527,1,0.0
163,11.0,0.507,1,0.0
164,11.0,0.494,1,0.0
165,8.0,0.498,1,0.0
166,5.0,0.493,1,0.0
167,2.0,0.498,1,0.0
0,0.0,0.847,1,0.0
1,0.0,0.794,0,0.0
2,0.0,0.752,1,0.0
3,0.0,0.718,1,0.0
4,0.0,0.6890000000000001,1,0.0
5,0.0,0.664,1,0.0
6,3.0,0.649,0,0.0
7,7.0,0.627,0,0.105
8,4.0,0.628,1,0.23199999999999998
9,0.0,0.6509999999999999,1,0.462
10,0.0,0.71,1,0.6940000000000001
11,0.0,0.805,1,0.763
12,19.0,0.8909999999999999,0,0.7390000000000001
13,15.5,0.941,0,0.688
14,30.0,0.966,1,0.574
15,12.0,0.972,1,0.381
16,7.0,0.972,0,0.156
17,6.0,0.97,1,0.005
18,10.5,0.971,1,0.0
19,9.5,0.971,1,0.0
20,14.0,0.977,0,0.0
21,8.0,0.982,1,0.0
22,8.0,0.983,1,0.0
23,0.0,0.9840000000000001,1,0.0
24,0.0,0.983,1,0.0
25,0.0,0.98,1,0.0
26,2.0,0.975,1,0.0
27,0.0,0.968,1,0.0
28,2.0,0.961,1,0.0
29,2.0,0.948,1,0.0
30,5.0,0.934,0,0.0
31,4.0,0.9329999999999999,1,0.128
32,3.0,0.948,0,0.364
33,2.0,0.9620000000000001,1,0.524
34,2.0,0.968,0,0.645
35,0.0,0.973,1,0.706
36,16.5,0.972,1,0.7140000000000001
37,18.0,0.965,1,0.6629999999999999
